Annotation Results of RA Expanded Metagenomic Datasets																																																																																											
Species	RAF101	RAF102	RAF106	RAF107	RAF111	RAF112	RAF113	RAF116	RAF117	RAF120	RAF122	RAF123	RAF124	RAF125	RAF126	RAF127	RAF128	RAF129	RAF131	RAF132	RAF135	RAF137	RAF138	RAF139	RAF140	RAF142	RAF143	RAF146	RAF147	RAF149	RAF150	RAF151	RAF153	RAF158	RAF159	RAF160	RAF161	RAF166	RAF167	RAF170	RAF174	RAF177	RAF179	RAF180	RAF184	RAF185	RAF186	RAF187	RAF25	RAF44	RAF58	RAF61	RAF63	RAF68	RAF71	RAF74	RAF75	RAF77	RAF78	RAF79	RAF80	RAF81	RAF84	RAF86	RAF87	RAF88	RAF89	RAF90	RAF92	RAF95	RAF96	RA10	RA11	RA12	RA13	RA14	RA15	RA16	RA17	RA18	RA1	RA2	RA3	RA4	RA5	RA6	RA7	RA8	RA9	RA19	RA20
Ruminococcus_bromii	16.90089	0.02044	2.37748	2.64936	0	0	5.23237	2.70066	0.55931	0.67608	4.38964	0	0	3.47409	0	15.9165	0.36401	0.1775	0.3767	0.0767	0.2037	0	1.7152	15.74825	0.15821	3.95209	0.09963	1.08775	0	0	4.97276	0	4.75178	2.43482	0.83126	0	0	0.01104	0	0.28492	0.11675	0	0.19817	0	1.5056	0	0	2.22591	0	0	0.24849	0	0	0	0	1.45431	0	0	1.78311	0	0	0	0	0.1892	0	0	0.51133	0.27088	0	0.30729	2.00668	17.35743	0.16243	2.28036	4.24685	0	3.72794	0	14.04119	2.58066	0	0.33758	3.431	4.93244	0	4.23667	0.58606	0	4.94807	0	0
Eubacterium_sp_CAG_180	3.79976	0.00676	0.7663	11.80102	0	0	2.60814	0	13.6107	2.49057	0	0	0.00925	0.00728	5.50445	0	0	15.11246	4.96145	0	0	4.93348	0	1.4163	1.21808	22.5233	0	0	0	0	0	2.20209	0	1.436	8.34973	0	25.67709	0.01073	0	0	0.82755	0	7.20904	0	0	0	0.0634	0	0	7.59813	0.05325	0	0	0	0.00138	0	0	0.05974	0.06034	0.56584	0	0	0	0	0	0.05545	0	1.78465	0	0	2.16789	0.06046	0	0	0	2.58198	1.12835	0	0	1.71869	0.33296	1.86072	0.01954	0	0.54798	0	0	0	0	0	0
Bifidobacterium_pseudocatenulatum	0	53.28438	0.12005	0	0	0	0	0	0.14681	0	0.42824	0.53851	0.23619	0.11094	0	0	0	0.04376	0.49747	0	0.25288	0.02014	0.87018	0.00284	0.0087	0	0	0	0.06326	11.27459	0.29773	0	0	0	0.00591	0	0.09768	0.01802	0	6.16595	0	1.06803	0	0	0.26812	0.03118	5.16882	0.02033	1.12806	2.68746	0	0	0	0.57011	2.59028	5.94533	0	0.02331	0	0	0	0	0	18.36434	0	0	0	0	1.85249	0	2.16346	0.00032	0	0	0	4.45041	0.7483	0.01002	1.09769	0.38122	0	1.37695	0.01113	2.84869	0.59639	11.82462	0	0	0.39013	5.07528	0
Bifidobacterium_longum	0	12.15941	0.10826	0	0	0	0.00615	0	0.08567	0.03273	0.34408	0.13083	0.02389	0.03064	0	0.10874	0	0.01741	1.78552	0	0.09717	0	0	0.06169	0.97111	0	0.10196	0	0.06286	2.58732	0.03223	0	0.14248	0.07238	0	0	0.16239	0.0254	0.45423	2.06628	0.08665	1.00133	0.06656	0.72803	0.02585	0.01013	1.32427	0.22385	0.31973	2.99053	0.00217	0	0	0.23264	0	5.39605	0.07146	0.00392	0	0	1.42409	0	0.16179	6.21422	0	0.02997	0.02045	0.00326	0.96742	0.1784	2.08139	0.15359	0.7606	0.05993	0.23067	1.99818	0.814	0	1.93023	1.65584	4.11605	6.26896	6.37442	20.83956	13.04736	2.50466	11.51463	15.97287	5.2777	8.87803	0.11138
Roseburia_faecis	1.66892	0.05227	1.53888	1.80836	1.07686	0	0.17814	2.73656	1.2987	0	2.16084	0	2.05866	5.23587	0.23646	8.06571	0	0.42493	0.10231	0	0.88388	0.22701	5.72221	14.87131	0.04599	0.02359	11.21651	0.34735	0.37561	0	0.19185	0.02666	0.84252	0.00472	0.03091	1.22216	1.98995	0	0.10909	9.57134	0.02863	0	0	1.60841	3.18227	0.47573	4.7668	0.22746	0.21635	0.03983	0.09224	0.02101	0	0	1.65244	1.7187	0	0.03329	0.02474	0.03669	31.98208	0.31348	0.97926	0.04902	0.1595	0	0.24235	0.21431	1.93907	2.20128	2.1263	0.11418	0.20254	1.41038	1.07453	0	1.75493	0.15864	0	0.91554	0.95006	0.03722	0.01305	0.06045	0.175	0.61489	0.07236	0.29421	0.05373	0.87939	0
Bacteroides_coprocola	0	0	0.90009	0.3406	0	0.61519	0	0	0	0	0	0	0.54772	0	0	9.91785	0	2.5264	0.3366	0.62279	0	0	0	0	0.22294	1.33634	0	0	0	6.58863	0.95072	0	0.65511	10.28508	14.74363	0	0	0	0	14.62293	2.6411	0	4.09939	0	0	0.85327	0	4.25136	7.48619	0	0.00304	0	0	0.85087	3.16452	0	0	13.10832	0	0	0	0	0	0.81569	0	0	0	0	0	0	3.87886	0.33085	0.9519	0	0.14087	1.44991	0.18553	5.126	1.62738	1.03019	6.94514	0	0	0	4.42571	0	0.12715	1.21129	0.04001	0	1.71994
Bacteroides_fragilis	0	0	0	0	0.01912	0	0	0	1.24078	47.9299	0.34973	1.24554	0	0.12958	0.13364	0	0	0	0.12612	0	0	0	0.00205	0	1.47925	0	0.01426	0	0.02447	0	0.01979	0	0	0	0	0	0.13735	0	0.04392	0	0	4.42616	0.39476	24.6841	0.00477	0.00357	0.54788	0	0	0	0	0	0.0586	0	0	0.08272	0.02728	0	0	0.19365	0.41625	0	0	0	0	0.47061	0	0	11.67106	2.02176	0	0	0	0.01169	0	0	0	0	0	0	0	0.05296	0.05186	0	0.12566	0	0	0.01783	2.15304	0	0
Klebsiella_pneumoniae	0	0	0	0	0	0.29783	0.90529	0	0	0.02601	0	0	0	0	0	0	0.24009	0	26.12708	0	0.07548	0	0	0	0.0501	0	0	0.05725	0.31564	0	0	0.00727	3.50239	0.02691	0	10.76874	0.96278	0.00536	0	0	0.11262	0	0.10875	0	0.01347	0	0.38627	0	0	0	0	1.26699	0.16819	1.21851	0.23441	2.30055	0	6.34239	0.02574	0.10361	0.01472	0	0	0.02749	0	0.14578	0	3.03783	0	0.65348	0	0	0.21177	6.06025	0.01623	0	0	0	0	16.71333	0	0	0.02189	0	0	0	0.9081	0.15436	0.01221	0	0
HA1201	0.91704	0	0.11027	8.22686	1.25646	0	0.00625	1.57585	1.01462	0.21663	0.00177	0	1.98403	0.20929	0	0.53497	0.01027	2.91976	0.633	0	0	1.61064	0	0.65047	5.21688	2.41621	0.1003	0.21226	0.01246	0	0.77806	3.78867	0.64629	4.01761	1.59567	0.57759	1.40512	0.00439	0	0.00073	3.05732	0	0.81969	0	0.00298	0.22459	0.00367	1.16918	0.57929	0.6613	0.03068	0.15036	0	0	0.02026	0.10236	0	0	0.25309	1.2702	0	0.05838	0.01599	0.02024	0.05631	0.30085	0.26123	1.13299	0	0.07106	0	2.54604	1.3245	0.19366	0.48624	0.24206	2.15225	0.24011	2.94193	0.36571	2.01502	2.21262	0.00781	0.02106	2.97303	1.88376	0.25269	1.3944	0.01594	0.00013	1.21636
Dialister_sp_CAG_357	0	0.11777	3.0504	4.47682	1.68014	0	0	0.57138	0	0.00301	0	0	6.90265	0	0	0	0	2.17216	0	0	0	3.42686	0	0	3.21349	0	1.34998	0	0	0	0	0.06112	0	0	0	0	0	0	0.00602	0	0	0	0	0	0	0.68467	0	0	0	0.27866	0.11815	0	0	0	0.00556	0	0	0.92007	0	0	0	0	3.48421	2.76403	0	14.57488	0	0	0	0	2.23619	0	0	0	0	4.16462	8.54998	0	1.46092	2.97915	0	0.02244	0	0	1.55756	0.27319	0	0	0.10815	0	0
Roseburia_inulinivorans	0.99014	0.01482	0.23266	2.2671	1.57034	0	0.87399	4.14192	0	0.14883	0.00669	0	0.33812	0.01701	0	0.48264	0.6113	0.02204	0.12142	0.16538	3.73484	0.83379	0.16113	0.03753	0.56802	0.05617	4.85176	0.51704	0.04469	0.90625	0.6603	0.10136	0	0.91365	0.49726	0.84848	1.31377	0	0.40318	0.099	0.62681	0.20241	0.40212	2.38557	0.02305	0.46397	0	0.82114	1.22493	0.00367	0.16697	2.22293	0	0.90612	5.67538	0.08655	2.44494	0.01565	2.42696	0.07745	0	3.90948	0.01351	0.83823	1.50673	0.31102	0.2125	1.92914	0	0	0.19925	1.44028	4.0331	0.44751	0.88768	0.72883	1.45827	0	0.23655	0.36247	0.02396	1.11165	0	0.08238	0.25375	0.23365	0.15175	0.14189	0.05329	0	4.54514
Eubacterium_eligens	0.02556	0	1.01526	0.60934	1.87204	0	0.07806	0.70028	0.52954	0.00196	4.47823	0	0.76147	0.41928	0.01912	0.08413	0	0.11415	0.06956	0.75636	0.30759	0.3092	0	0.01952	0.32795	0.76133	0.97356	2.41681	1.02694	5.50537	0.52665	0.05306	1.56143	0.59167	4.11543	0.37384	3.57998	0	0.03328	0.2274	0.0931	0	0.58375	0.23547	0	0.35064	1.53996	1.97344	0.32901	0.03296	0.2689	1.26034	0.86533	2.83203	0.24429	0.03007	3.00939	0	0	0.52358	0	0.23466	4.3803	0.11467	0.37736	0.03805	4.8946	0.15358	0.02807	0.12686	0.77095	0.08897	2.79817	0.97628	1.29031	0.46029	0.04697	0.81934	1.33884	0.37236	0.45867	0.01765	0.03324	0.00335	0.5343	0.23282	0.03699	0.27923	0	0	0
Collinsella_aerofaciens	0	0	0	0	0.0994	0	0.00586	0.00035	0	0.00501	0	0	0.45281	0	0	0.69985	0	0.0052	0.91038	0	0.07894	0	0	0	0.22131	0.00448	0	0	0.24905	0	0.21529	0	0	0	0	0	0.03211	0.06081	0	0.35092	0.00223	0	0.02269	0	0.07481	0.03315	0.12099	0.01194	0.04032	1.24163	0	0	0	0.28881	0	0	0.00293	0	0.00165	0	0	0.02467	0.19933	0.4049	0.00472	0.00276	0	0	0	0	0	11.81122	4.03526	1.73813	0.84751	3.42944	1.20287	0.15103	0	0.68548	0.03089	11.35238	12.20061	2.6739	1.66966	0	5.04017	1.90659	4.79893	0	0.56275
Lachnospira_pectinoschiza	0.95979	0.01979	0.02494	0	0	0	0.40965	0.30044	0	0	0.00832	0	0.91601	8.78062	0.05495	0	0	0	0.00694	0.28756	0	0	2.43441	0.18283	0.93456	0	0	0.04638	0	23.17071	0.34697	0	0	0.14442	0	1.9726	0.57446	0.31607	1.73587	1.75408	0.72859	0	1.28475	0	4.24839	0.66753	0	0	0	0.00315	0	0	2.91352	0	0	0.78277	0	0.03135	0.30147	0	0	0.46512	0	0.696	0.32358	0.03113	0	1.32226	0	2.74182	0	0.11729	0.14033	1.16942	0.90892	0.49347	0.47704	0	0	2.93329	0.72924	0.15919	0.00906	0.00894	0	0	0.03775	0	0	0	0
Bacteroides_ovatus	0	0.01222	0.05959	0.00367	0.10395	0.59865	0	0.20082	0.01125	0.02692	0.0055	0	0.2072	0.49737	0	0	0.04606	0.69754	0.09046	0.02625	1.22359	0	2.21156	0.01043	0.10366	0.40305	0.92558	0.07716	0.27887	0.00088	0.3127	0	0.13949	0.00574	0.2333	0	0.11518	0	1.56975	1.0587	0.18439	9.5648	0.50167	14.94044	0.29553	0.26322	0	0.32324	0.0222	0.3144	0	0.00422	12.81748	0.00108	0.05335	0.07397	0	0.08044	0.08689	0	6.81287	0	0.34155	0	0	0.32282	0.14053	0.131	7.25091	0.51221	0.15544	0.02204	0.00258	0	0.03289	0.00617	0.39151	0.19191	0.05808	0.0064	0.01461	0.00394	0.00276	0.00535	0.0585	0.08424	0.00972	0.06399	0.02993	2.63716	0.19494
Bacteroides_dorei	0	0.0061	0	0.11864	1.42467	0.83095	0.31196	0.25789	1.44134	0	1.63973	0.01218	0	0	0.56952	0	0.00136	0	0.03304	0.03834	3.15831	0	0	0.69775	0.91106	0	0	1.42126	0	0	0	0	0	0	0	0	0.81588	0.02653	12.15378	0	0	0.57032	0.00755	0	0.02922	0.03544	0	0	0	0	0	1.48814	0	0	0	0	0	0	0	0	0	0	0	0	0.02122	0.0992	0	2.09005	0	32.94809	0	0	0	0	0	0.06881	0.03927	0	0	0.0047	0	0	0	0	0.08272	2.47888	0.14435	0.10015	0	0	0
Subdoligranulum_sp	0.05744	0.05038	0.27893	0.16735	0.14812	0	0.1423	0.68528	1.84549	0.06834	1.23499	0	0.34614	1.36346	0	2.33873	0.39701	0.04018	0.0372	0	0	0.0177	0.15499	0.30198	0.15068	2.41819	0.14767	0.05259	0	0.20987	0.29188	0.04574	0.18504	0.84767	0.10118	0.86967	0.75323	0.03247	0.05175	0.43565	0.03134	0	0.08659	0.91612	0.02086	0.00553	0	0.26952	0.32394	0.64143	0.96883	0.07277	0	0.32808	0.00983	0.94332	0.05145	0.23354	0.04586	0.08173	0	0.05858	0.35095	19.14359	0.00605	0.00211	0.03943	0	0	0.04837	0.81079	3.19054	1.19731	0.37675	0.97856	2.9736	1.2295	2.07691	1.68717	1.01283	1.54034	0.68758	1.63318	1.22069	1.32043	1.16292	0.37826	1.18956	0	1.92932	2.21528
Bacteroides_caccae	0.35687	0	0.35714	0.11968	0.45915	2.09096	0	0.05246	2.41417	0.64853	0	0	0.44759	0.2097	0	0.08324	0.00217	6.22031	0.72017	0.02376	1.37168	0.07643	0	0.29614	0.91342	8.44582	0.26708	1.30415	2.6211	0	0.74063	0.14546	0.17335	0.4709	0.1356	0.03267	0	0.01108	0	0.28197	0.31917	0	0.92595	0	0.21698	0.00738	0	0.23874	1.46675	16.9081	0	0	0	0	0.02976	0.01106	0	0.09567	0.01208	0.07671	0	0	0	0.22453	0.00991	0.22315	0.63743	0.01273	0	0	0.81977	0.01241	0.17763	0.05369	0.19167	0.17057	0.06471	0	0.37364	0.04468	0.23418	0	0.31913	0.04262	0.41832	1.55427	0.08143	0.75263	0.0118	0.91015	0.02103
Roseburia_intestinalis	0.03171	0	0.10883	1.16485	1.86538	0	0.0235	0.15858	0	0	6.76426	0	0.04021	0	0	0.01097	0	0.0566	0	0	5.26164	0.02627	0.51503	0	0	0.74979	0.02651	0.97576	0.28213	4.81119	0.01357	0	0	0.36271	1.68629	0	0.23799	0	0.07344	1.31021	1.04104	0.033	0.74598	0.0497	0	0.25085	1.6293	0	4.30212	0.02214	0.80095	0	0	1.7777	0.41045	0.1899	0	0	2.93337	0	3.96177	2.24887	2.49563	0	1.63126	0.28916	0	0.35775	0	0	0.52354	0.03952	0.02895	0	0.07104	0.04194	0.20215	0	0.02846	0.42331	0.83691	0.02702	0.0334	0.01214	0.02505	0.0136	0.00618	0	0.02905	0	0
Bifidobacterium_bifidum	0	1.5212	0	0	0	0	0.00133	0	0	0	0	0	0	0	0	0	0	0	1.81136	0	0	0	0	0.05625	0.04153	0.02996	0.00773	0	0	0	0.0105	0	0	0	0	0	0.17973	0.00898	0	0	0	0	0	0	0	0	6.92724	0	0	1.79397	0.01415	0	0	0	0	2.25727	0	0	0	0	0	0	0	1.70055	0	0.02022	0.02651	0	0	0.00462	0	1.77581	0	0	0	0	3.94625	0	0.01413	0.5389	0	0	0	0	0	12.5788	18.71476	0.00197	0	0	0
HA0073	0.75451	0.1136	0.46733	1.10488	0.8294	0.02582	0.1757	2.06357	0.63494	0.78412	1.17037	0.06649	0.47496	1.036	0.32074	1.13551	0.61258	0.25315	0.20546	0.28214	0.72315	1.25173	0.3053	0.56421	0.88455	0.66855	0.62955	1.05201	0.66013	0.3369	0.30725	1.94024	0.68928	1.72931	1.71211	0.63494	1.1456	0.02938	0.15553	0.38737	0.27454	0.1668	0.33496	0.4293	0.13879	0.13714	0.05431	0.21092	0.73024	0.37737	0.14119	0.78534	0.11526	0.39817	0.62311	0.57865	0.28779	0.10161	0.44821	1.05484	0.24962	0.8056	0.36892	1.07428	0.27003	0.06358	0.27206	0.2834	0.57873	0.4564	0.63397	0.61576	0.94403	0.32471	0.92142	1.18029	0.79365	1.04031	1.11999	0.42681	0.92195	0.67703	0.31338	0.46654	0.64482	0.66696	0.22563	0.86244	0.54548	1.05073	0.59289
Streptococcus_salivarius	0	0.3498	0.23334	0.07488	0.46741	0	0.0291	1.38858	0	0	0.06159	0.02496	0	0	0.10934	0	0	0.0127	0.00272	0.05998	0	0.03086	0.0131	0	0.02913	0.03205	0.0096	0.01492	0.06911	0.0059	1.14846	0.80813	0	0	0.01516	0.00758	0.19662	0.00145	0.18749	0.04549	0	0.00964	0.0143	0.33458	0.54961	0.06678	0.14471	0.17985	0.46974	0	0.04183	0	0.01356	15.53723	0.06726	0.01106	0.04909	0.3971	0.00731	0	0.61578	0.00234	0.03506	0.02637	0.00767	0.05117	0	0	0.04281	0.01564	0.01614	1.02238	0	25.06504	0.00852	0.0105	0.0123	0.5643	0.16308	0	0.02456	0.1667	0.27486	0.22521	0.0036	0.07701	0.00114	0.00664	0.46653	6.32078	0.00461
Blautia_obeum	0.00815	0.02259	0.36036	0	0.10102	0	0.03204	0.37625	0.00459	0	0.34734	0	0.18039	0.02019	17.27863	0.05335	0	0	0.70879	0	0.01023	0.00651	0.06415	0.13018	0.01169	0.0915	0.03194	0	0.03411	0	0.2828	0.00314	0.02231	0.08556	0	0.08828	0.00216	0	0.08963	0.11233	0.00996	0.00136	0.17118	0	0.19421	0.01369	0	0.00908	0.7085	0.85938	0.01051	0	0	0.22217	0.03228	0.23794	0	0.02086	0.01062	0.05493	0	0.02259	0.00382	2.45392	0	0	0	0	0	0	0.09947	1.3116	3.92275	0.92317	0.36703	0.45441	1.55264	0.34635	0.86893	0.55977	0.83656	9.83785	1.0911	0.33459	0.91585	0.8314	0.06932	0.29632	1.3675	0.76832	0.30073
Alistipes_finegoldii	0.09307	0.00079	0.01394	0.69804	1.52767	1.18476	0.00487	0	0.02001	0.35192	0.17585	0.51264	0.68692	0.83906	0	0.00354	0.00436	0	1.01795	0	1.06337	0	0	0.0418	8.5826	0.4945	1.23969	0	12.58422	0	1.81841	0.20724	0	0.10587	0.00636	0.01491	0	0.08453	0	0	1.41266	0	2.38077	0	0.10269	0.01143	0.00184	2.59913	0.00711	1.03841	0	2.42844	0	0	0.12465	1.83326	0	0	0.01344	0.06362	0	0.01662	0.0061	0.07788	0.03576	0.00908	0	0.11874	0.04032	1.05615	0	1.17136	0.02708	0	0.0063	0.00694	0.03916	0.043	0.50341	0.01957	0.16578	0.0229	0.00555	0.08505	0.43373	0.47656	0.00212	0.03115	1.5206	0	0
